time,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,roll,pitch,yaw,u1,u2,u3,u4
11.01,0.0,0.0,11.683333333333334,2.225556058759378e-11,1.1466724712929511e-11,11.69453001258414,-6.650046775515056e-12,1.094917781471373e-11,-1.1980350016162314e-07,13.823778983907117,-13.823779831030953,13.823778983991,-13.823779830888656
11.02,0.0,0.0,11.7,2.088078786692201e-11,1.0765297386488281e-11,11.713265445320744,-6.664487476010397e-12,1.1092842757524389e-11,-1.1982644875369835e-07,13.82408902384952,-13.82408987106485,13.824089023873245,-13.824089871003899
11.03,0.0,0.0,11.716666666666665,1.9516643574675748e-11,1.0071575903181415e-11,11.731956898759035,-6.561254403593003e-12,1.1208530584615511e-11,-1.198491103191074e-07,13.824617126764597,-13.824617974068303,13.824617126727821,-13.824617974090534
11.040000000000001,0.0,0.0,11.733333333333334,1.8163358318638507e-11,9.385744691758577e-12,11.750604488474973,-6.343160107543618e-12,1.1292610952467008e-11,-1.1987142644917544e-07,13.825353561742205,-13.825354409139495,13.825353561652005,-13.825354409236683
11.05,0.0,0.0,11.750000000000002,1.6821162972090008e-11,8.707911942420589e-12,11.76920837235769,-6.017025877304907e-12,1.1341732254691367e-11,-1.198933380103302e-07,13.826289025533736,-13.826289873039665,13.826289025405895,-13.826289873191767
11.06,0.0,0.0,11.766666666666667,1.549028867380476e-11,8.038109606818689e-12,11.787768750609493,-5.59368174248118e-12,1.1352821622033969e-11,-1.1991478514410247e-07,13.827414642559559,-13.827415490200536,13.827414642419836,-13.827415490373921
11.07,0.0,0.0,11.783333333333333,1.4170082635156054e-11,7.373076397361652e-12,11.806285485365636,-5.2029229260575555e-12,1.1403345664415779e-11,-1.1993610455699063e-07,13.828719119916897,-13.828719967689663,13.828719119762754,-13.828719967886506
11.08,0.0,0.0,11.8,1.286044093531952e-11,6.711470793540076e-12,11.824758717083547,-4.907228032617588e-12,1.1521251513621055e-11,-1.1995738572993187e-07,13.830193357554508,-13.830194205454045,13.830193357380924,-13.830194205678822
11.09,0.0,0.0,11.816666666666666,1.1561712068331073e-11,6.053520112641704e-12,11.843188823048726,-4.7142991718118845e-12,1.169372213529727e-11,-1.1997851425700817e-07,13.83183013791838,-13.83183098596119,13.831830137739363,-13.831830986192745
11.1,0.0,0.0,11.833333333333332,1.0273865892514291e-11,5.397996859280972e-12,11.861576059856347,-4.685109225672076e-12,1.1942613188805331e-11,-1.199995452571432e-07,13.833621451970213,-13.833622300177593,13.833621451803117,-13.833622300389308
