time,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,roll,pitch,yaw,u1,u2,u3,u4
0.15,0.0,0.0,0.15,-2.6485571184709406e-15,-1.408477556022451e-14,2.494492674141921e-05,-4.767583460388716e-13,4.683626124737878e-13,7.390470004376011e-11,5.266623019568716,-5.266623019055553,5.266623019572495,-5.266623019040646
0.16,0.0,0.0,0.16,-1.6665565662490096e-15,-1.387980602572987e-14,2.6610855050406903e-05,-4.810254174397043e-13,4.451499882591888e-13,8.203884953276934e-11,5.355907972509233,-5.355907971939156,5.355907972514528,-5.355907971924576
0.17,0.0,0.0,0.17,-6.655278539073209e-16,-1.3554401465278566e-14,2.8276650350333728e-05,-4.843092159169999e-13,4.2088479543704456e-13,9.029306597436249e-11,5.445791351353607,-5.4457913507255915,5.445791351359934,-5.445791350711206
0.18,0.0,0.0,0.18,1.3276540998759416e-15,-1.2848858171232575e-14,2.9942732408911933e-05,-4.817316673277378e-13,3.4571348373547376e-13,9.931846688258947e-11,5.536276210642193,-5.536276209950174,5.536276210653448,-5.536276209941105
0.19,0.0,0.0,0.19,4.02929444013433e-15,-1.1839227013688919e-14,3.160897749219757e-05,-4.747318165032929e-13,2.3416030942305797e-13,1.0892581355216838e-10,5.6273616579079535,-5.627361657147331,5.627361657926756,-5.627361657147168
0.2,0.0,0.0,0.2,6.531818925395906e-15,-1.0641026559454218e-14,3.32756818338872e-05,-4.657015136649712e-13,1.2923947167104024e-13,1.187943936397232e-10,5.719046925914085,-5.719046925082928,5.719046925938089,-5.719046925089493
0.21,0.0,0.0,0.21000000000000002,8.385167545374618e-15,-9.311541694975775e-15,3.494299233429422e-05,-4.558268613776597e-13,5.228142482335597e-14,1.2876516803422257e-10,5.811331634193069,-5.811331633290769,5.811331634217463,-5.811331633299023
0.22,0.0,0.0,0.22000000000000003,9.556312056136223e-15,-7.886748242370137e-15,3.661125209994506e-05,-4.456219016140131e-13,4.941793144226976e-15,1.3874890281279171e-10,5.904215793244274,-5.904215792270901,5.9042157932653545,-5.904215792276817
0.23,0.0,0.0,0.23000000000000004,1.0595984002155552e-14,-6.357381413722774e-15,3.828091767798521e-05,-4.3445279514765546e-13,-3.870835066223233e-14,1.4879170204133065e-10,5.997699942204048,-5.997699941159172,5.997699942223598,-5.9976999411645595
0.24,0.0,0.0,0.24,1.125405080525222e-14,-4.721556572437543e-15,3.995171798629132e-05,-4.2252553993036566e-13,-6.690985232200877e-14,1.5888749938018156e-10,6.091783828838659,-6.091783827721964,6.091783828855721,-6.091783827725747
0.25,0.0,0.0,0.25,1.1599461433037742e-14,-3.0028325252013105e-15,4.162375944024187e-05,-4.0885471668206484e-13,-8.147785480136675e-14,1.6911962639200674e-10,6.186467464630485,-6.186467463440994,6.1864674646442674,-6.186467463442406
0.26,0.0,0.0,0.26,1.1970740251970957e-14,-1.3168778655329404e-15,4.329756451609457e-05,-3.88602132038754e-13,-9.132431347792933e-14,1.7989722284254172e-10,6.281750905955241,-6.281750904688741,6.2817509059657715,-6.281750904688525
0.27,0.0,0.0,0.27,1.2326850754431299e-14,3.5032895298990807e-16,4.4973069878376256e-05,-3.6235428014548443e-13,-9.536890574852617e-14,1.9117069210366164e-10,6.377634145978951,-6.377634144631618,6.377634145986158,-6.377634144630337
0.28,0.0,0.0,0.28,1.2756006300002761e-14,1.9686467758636796e-15,4.665041167499995e-05,-3.288504148544522e-13,-9.59339268514646e-14,2.0304664863757628e-10,6.474117199392135,-6.474117197959302,6.474117199396157,-6.474117197957911
0.29,0.0,0.0,0.29,1.286009392059098e-14,3.7350838083414444e-15,4.832995807976135e-05,-3.0417011262412447e-13,-9.052252330095008e-14,2.1436902781674877e-10,6.571200046821769,-6.57120004530807,6.571200046823708,-6.571200045306228
0.3,0.0,0.0,0.3,1.25004944473989e-14,5.725445994937939e-15,5.001195346218238e-05,-2.951405078014749e-13,-7.920924097986096e-14,2.246555047962607e-10,6.668882687070421,-6.668882685484381,6.668882687071942,-6.668882685481353
0.31,0.0,0.0,0.31,1.154958820266187e-14,8.010401727040556e-15,5.169663694393701e-05,-3.0819653979734977e-13,-6.217762292012894e-14,2.334523133893087e-10,6.767165119711137,-6.767165118064939,6.7671651197144485,-6.767165118059632
